Source File Name:	Scan
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
3.616e-5	-7.490308e-6
3.632e-5	-7.509047e-6
3.648e-5	-6.339216e-6
3.664e-5	-2.788237e-6
3.68e-5	-1.262358e-6
3.696e-5	-3.171799e-6
3.712e-5	-1.03468e-6
3.728e-5	-2.195299e-6
3.744e-5	-3.549819e-6
3.76e-5	-5.448024e-6
3.776e-5	-6.612782e-6
3.792e-5	-4.928406e-6
3.808e-5	-3.357758e-6
3.824e-5	-4.565761e-6
3.84e-5	-3.282054e-6
3.856e-5	-3.166663e-6
3.872e-5	-2.823932e-6
3.888e-5	-2.748521e-6
3.904e-5	-3.011581e-6
3.92e-5	-2.745004e-6
3.936e-5	-3.640593e-6
3.952e-5	-3.738773e-6
3.968e-5	-3.302248e-6
3.984e-5	-4.618544e-6
4e-5	-6.009148e-6
4.016e-5	-7.454578e-6
4.032e-5	-8.276234e-6
4.048e-5	-9.327374e-6
4.064e-5	-1.040404e-5
4.08e-5	-7.511365e-6
4.096e-5	-3.707594e-6
4.112e-5	-4.078045e-6
4.128e-5	-2.174823e-6
4.144e-5	-7.963572e-7
4.16e-5	2.975942e-6
4.176e-5	4.3074e-6
4.192e-5	3.578158e-6
4.208e-5	2.45078e-6
4.224e-5	2.207828e-6
4.24e-5	2.318701e-6
4.256e-5	2.422996e-6
4.272e-5	3.595221e-6
4.288e-5	3.246573e-6
4.304e-5	1.098472e-6
4.32e-5	1.239062e-6
4.336e-5	-5.641461e-7
4.352e-5	-1.655842e-6
4.368e-5	-4.369458e-7
4.384e-5	-3.876431e-7
4.4e-5	-7.947087e-7
4.416e-5	-3.783259e-7
4.432e-5	-6.235769e-8
4.448e-5	-8.489467e-7
4.464e-5	-3.400598e-7
4.48e-5	-8.197205e-7
4.496e-5	-1.875102e-7
4.512e-5	6.552215e-7
4.528e-5	1.094541e-6
4.544e-5	1.92036e-6
4.56e-5	1.907613e-6
4.576e-5	7.897115e-7
4.592e-5	-5.351942e-7
4.608e-5	8.503883e-7
4.624e-5	-1.494055e-6
4.64e-5	-1.925768e-6
4.656e-5	-5.596179e-7
4.672e-5	-2.720356e-6
4.688e-5	-4.917035e-6
4.704e-5	-6.971004e-6
4.72e-5	-5.249631e-6
4.736e-5	-5.822347e-6
4.752e-5	-4.428089e-6
4.768e-5	-5.297114e-6
4.784e-5	-6.043385e-6
4.8e-5	-5.183257e-6
4.816e-5	-4.482313e-6
4.832e-5	-3.514267e-6
4.848e-5	-4.149524e-6
4.864e-5	-4.270554e-6
4.88e-5	-4.7587e-6
4.896e-5	-6.640119e-6
4.912e-5	-6.92821e-6
4.928e-5	-6.028253e-6
4.944e-5	-4.991929e-6
4.96e-5	-4.423807e-6
4.976e-5	-5.9477e-6
4.992e-5	-5.251445e-6
5.008e-5	-4.690435e-6
5.024e-5	-5.683865e-6
5.04e-5	-6.820983e-6
5.056e-5	-5.893754e-6
5.072e-5	-7.632666e-6
5.088e-5	-9.388358e-6
5.104e-5	-8.817247e-6
5.12e-5	-8.865338e-6
5.136e-5	-7.854241e-6
5.152e-5	-9.116279e-6
5.168e-5	-9.681993e-6
5.184e-5	-1.070901e-5
5.2e-5	-1.097158e-5
5.216e-5	-1.216462e-5
5.232e-5	-1.137979e-5
5.248e-5	-1.13174e-5
5.264e-5	-1.248378e-5
5.28e-5	-1.131655e-5
5.296e-5	-1.128248e-5
5.312e-5	-1.152787e-5
5.328e-5	-1.028861e-5
5.344e-5	-9.373442e-6
5.36e-5	-1.013505e-5
5.376e-5	-8.925539e-6
5.392e-5	-7.627833e-6
5.408e-5	-7.763253e-6
5.424e-5	-8.396846e-6
5.44e-5	-7.125553e-6
5.456e-5	-7.638554e-6
5.472e-5	-7.262132e-6
5.488e-5	-6.523143e-6
5.504e-5	-6.206869e-6
5.52e-5	-4.343019e-6
5.536e-5	-2.460577e-6
5.552e-5	-1.858487e-6
5.568e-5	-2.380366e-6
5.584e-5	-4.481341e-6
5.6e-5	-2.178516e-6
5.616e-5	3.422674e-7
5.632e-5	3.47728e-6
5.648e-5	3.600889e-6
5.664e-5	8.083383e-7
5.68e-5	-1.701241e-6
5.696e-5	-3.053811e-6
5.712e-5	-2.832052e-6
5.728e-5	-1.616658e-6
5.744e-5	-5.5139e-7
5.76e-5	7.329184e-7
5.776e-5	1.537898e-6
5.792e-5	2.876137e-6
5.808e-5	3.828393e-6
5.824e-5	4.056987e-6
5.84e-5	4.319141e-6
5.856e-5	3.90912e-6
5.872e-5	3.961488e-6
5.888e-5	3.700295e-6
5.904e-5	3.236885e-6
5.92e-5	3.679024e-6
5.936e-5	3.744617e-6
5.952e-5	6.53608e-6
5.968e-5	7.828145e-6
5.984e-5	5.730764e-6
6e-5	5.222243e-6
6.016e-5	4.4338e-6
6.032e-5	3.984568e-6
6.048e-5	3.546268e-6
6.064e-5	2.544342e-6
6.08e-5	5.173804e-6
6.096e-5	7.428453e-6
6.112e-5	6.174146e-6
6.128e-5	4.92832e-6
6.144e-5	5.58546e-6
6.16e-5	6.154307e-6
6.176e-5	6.812869e-6
6.192e-5	5.204267e-6
6.208e-5	6.001931e-6
6.224e-5	5.556128e-6
6.24e-5	7.190876e-6
6.256e-5	6.485921e-6
6.272e-5	7.049987e-6
6.288e-5	7.522212e-6
6.304e-5	8.206009e-6
6.32e-5	8.658122e-6
6.336e-5	7.60813e-6
6.352e-5	7.31886e-6
6.368e-5	5.872979e-6
6.384e-5	7.429739e-6
6.4e-5	7.782527e-6
6.416e-5	6.903061e-6
6.432e-5	4.5664e-6
6.448e-5	4.854659e-6
6.464e-5	2.231086e-6
6.48e-5	3.030327e-6
6.496e-5	4.147535e-6
6.512e-5	7.159938e-7
6.528e-5	-3.269914e-7
6.544e-5	-1.29892e-6
6.56e-5	-2.110522e-6
6.576e-5	-2.774701e-6
6.592e-5	-4.872883e-6
6.608e-5	-8.733145e-6
6.624e-5	-9.027025e-6
6.64e-5	-8.225633e-6
6.656e-5	-6.840031e-6
6.672e-5	-6.421749e-6
6.688e-5	-5.847594e-6
6.704e-5	-3.396111e-6
6.72e-5	-1.055719e-6
6.736e-5	-2.429122e-7
6.752e-5	3.617059e-7
6.768e-5	1.674744e-6
6.784e-5	2.500795e-6
6.8e-5	3.152803e-6
6.816e-5	-5.092083e-7
6.832e-5	-4.748499e-7
6.848e-5	-1.853727e-6
6.864e-5	-1.817743e-6
6.88e-5	-3.267317e-6
6.896e-5	-4.813461e-6
6.912e-5	-6.414572e-6
6.928e-5	-5.184833e-6
6.944e-5	-4.259899e-6
6.96e-5	-3.298506e-6
6.976e-5	-3.070381e-6
6.992e-5	-3.200681e-6
7.008e-5	-4.138388e-6
7.024e-5	-4.287258e-6
7.04e-5	-3.987889e-7
7.056e-5	3.489637e-6
7.072e-5	5.837708e-7
7.088e-5	3.111119e-6
7.104e-5	4.838031e-6
7.12e-5	2.358309e-6
7.136e-5	3.152261e-6
7.152e-5	8.151936e-7
7.168e-5	1.207929e-6
7.184e-5	2.000501e-6
7.2e-5	3.023757e-6
7.216e-5	4.878423e-6
7.232e-5	4.912833e-6
7.248e-5	2.853654e-6
7.264e-5	2.044848e-6
7.28e-5	1.571954e-6
7.296e-5	-1.024631e-6
7.312e-5	-5.376924e-7
7.328e-5	2.324932e-7
7.344e-5	-2.653899e-6
7.36e-5	-4.286297e-6
7.376e-5	-5.406228e-6
7.392e-5	-5.071714e-6
7.408e-5	-4.080984e-6
7.424e-5	-2.752012e-6
7.44e-5	-2.099402e-6
7.456e-5	-1.692344e-7
7.472e-5	-1.296489e-6
7.488e-5	-2.388946e-6
7.504e-5	-1.382829e-6
7.52e-5	-1.027824e-6
7.536e-5	-1.065056e-6
7.552e-5	-1.808125e-6
7.568e-5	-1.842773e-6
7.584e-5	4.595252e-7
7.6e-5	7.306522e-7
7.616e-5	-3.899289e-7
7.632e-5	-1.740457e-6
7.648e-5	-3.070926e-6
7.664e-5	-3.278282e-6
7.68e-5	-4.505284e-6
7.696e-5	-5.085292e-6
7.712e-5	-4.840807e-6
7.728e-5	-6.187547e-6
7.744e-5	-7.51875e-6
7.76e-5	-7.90318e-6
7.776e-5	-9.637637e-6
7.792e-5	-9.224597e-6
7.808e-5	-8.704619e-6
7.824e-5	-6.723204e-6
7.84e-5	-5.915864e-6
7.856e-5	-8.012828e-6
7.872e-5	-9.039387e-6
7.888e-5	-8.735777e-6
7.904e-5	-9.36039e-6
7.92e-5	-1.053442e-5
7.936e-5	-6.612985e-6
7.952e-5	-5.831935e-6
7.968e-5	-3.956007e-6
7.984e-5	-6.197386e-7
